Eid,FallPas,CowYr,CowNo,CowBrd,Type1,Origin,SireYr,SireNo,Damno,SrvSirBrd,SrvSirNo,Project,FallDate,FallWt,FallDisp,FallHgtTp,FallHgtLz,FallBCS1,FallBCS2,Preg,FallComment,WinDate,WinWt,WinDisp,WinBCS1,WinBCS2,SprDate,SprWt,SprBCS1,SprBCS2,SumDate,SumWt,SumDisp,SumBCS1,SumBCS2,CullReason,Herd,Wt0113,CowwtBr
840003008063805,13,2012,2140,AnxBr,AngLg,Rais-Lg,,474,6092,Rd,1008,IGOS-E,11-21-2013,891,1,49,48.52,5,5,P,,,,,,,,,,,,,,,,,,,711
840003008064180,9,2012,2146,AnxBr,AngLg,Rais-Lg,,475,6087,Rd,1039,IGOS-W,11-21-2013,1034,,51,52.15,5,5,P,,,,,,,,,,,,,,,,,,,812
840003008064177,13,2012,2152,AnxAnxBr,AngLg,Rais-Lg,,6058,85,Rd,1008,IGOS-E,11-21-2013,1034,3,52,53.73,5.5,5,P,,,,,,,,,,,,,,,,,,,784
840003008064165,9,2012,2157,AnxBr,AngLg,Rais-Lg,,473,3166,Rd,1008,IGOS-W,11-21-2013,1122,3,52,55.05,5,5,P,,,,,,,,,,,,,,,,,,,846
840003008064171,13,2012,2162,AnxAnxBr,AngLg,Rais-Lg,,6068,42,Rd,1008,IGOS-E,11-21-2013,1043,3,52.5,52.14,5,5,P,,,,,,,,,,,,,,,,,,,812
840003008064182,9,2012,2168,An,AngLg,Rais-Lg,,6068,101,Rd,1008,IGOS-W,11-21-2013,943,4,51,52.44,5,5,O,,,,,,,,,,,,,,,,,,,781
840003008063998,WSH,2002,2254,An,AngSm,Florida,,,99026,An,6040,Ang-Flush,11-5-2013,1326,1,51.5,51.23,4.5,4.5,O,,,,,,,,,,,,,,,,,,1430,1198
840003008063969,WSH,2002,2262,An,AngSm,Florida,,,95060,An,6040,Ang-Flush,11-5-2013,1287,4,49,49.63,5,5,O,,,,,,,,,,,,,,,,,,1396,1246
840003008063988,15,2002,2324,An,AngSm,Florida,,,95245,An,6040,IGOS-E,11-5-2013,1210,2,49.5,50.35,6,5.5,P,,,,,,,,,,,,,,,,,,1372,1255
840003008063835,15,2008,2608,An,AngLg,Frey,,14904066,14435175,An,6068,IGOS-E,11-6-2013,1231,1,53,54.12,5,5,O,,,,,,,,,,,,,,,,,,1674,1558
840003008063839,15,2008,2708,An,AngLg,Frey,,14904066,15007061,An,6040,IGOS-E,11-6-2013,1409,1,55,55.87,5.5,5,O,,,,,,,,,,,,,,,,,,1690,1440
840003008063999,15,2008,2808,An,AngLg,Frey,,14904066,15169418,An,6040,IGOS-E,11-5-2013,1384,1,52.5,55.01,5,5.5,P,,,,,,,,,,,,,,,,,,1447,1263
840003008063973,15,2003,3300,An,AngSm,Florida,,95204,2000104,An,6056,IGOS-E,11-5-2013,1125,1,49.5,,4,4,P,,,,,,,,,,,,,,,,,,1272,1191
,,2003,3308,An,AngSm,Florida,,98003,98048,,,Ang-Flush,,,,,,,,,,,,,,,,,,,,,,,,,,,
982000044590157,WSH,2006,6142,An,AngSm,Florida,,2003137,99075,An,6040,Ang-Flush,11-5-2013,1198,3,49,48.84,5,5,O,,,,,,,,,,,,,,,,,,1249,1206
840003008063995,WSH,2006,6334,An,AngSm,Florida,,2003041,98048,An,6056,Ang-Flush,11-5-2013,1117,1,50,49.46,5,4.5,O,,,,,,,,,,,,,,,,,,1320,1064
982000046716030,15,2007,7232,An,AngSm,Florida,,2004179,99075,An,6056,IGOS-E,11-5-2013,1256,2,48.5,50.64,5.5,5.5,P,,,,,,,,,,,,,,,,,,1301,1222
982000047511598,12,2007,7240,An,AngSm,Florida,,2004379,98009,An,6056,IGOS-W,11-5-2013,1289,1,50.5,51.03,5.5,5.5,P,,,,,,,,,,,,,,,,,,1286,1233
840003008063984,15,2007,7395,An,AngSm,Florida,,2004179,2001213,An,6056,IGOS-E,11-5-2013,1229,1,49,50.01,5.5,5,P,,,,,,,,,,,,,,,,,,,1308
840003008063846,15,2008,8209,An,AngLg,Hendricks,,14200755,13813537,An,6056,IGOS-E,11-5-2013,1728,2,55.5,54.76,6.5,6.5,O,Foot,,,,,,,,,,,,,,,,,1593,1598
840003008063980,12,2008,8227,An,AngSm,Florida,,2004375,95064,An,6056,IGOS-W,11-5-2013,1037,1,46,45.44,5.5,5,P,,,,,,,,,,,,,,,,,,1121,1030
982000047348697,15,2008,8229,An,AngSm,Florida,,2002271,2001158,An,6056,IGOS-E,11-5-2013,1184,2,49,48.78,5,5,P,,,,,,,,,,,,,,,,,,1216,1090
840003008063958,12,2008,8263,An,AngLg,Hendricks,,15622600,15371082,An,6040,IGOS-W,11-5-2013,1194,1,53,51.78,5.5,5,P,,,,,,,,,,,,,,,,,,1251,1142
840003008063966,15,2008,8295,An,AngLg,Hendricks,,14981649,14786443,An,6040,IGOS-E,11-5-2013,1351,2,53,52.04,4.5,5,O,,,,,,,,,,,,,,,,,,1483,1320
840003008063982,15,2008,8299,An,AngLg,Hendricks,,14981649,14725528,An,6040,IGOS-E,11-5-2013,1424,2,54,53.64,5,5,O,,,,,,,,,,,,,,,,,,1729,1278
840003008063953,12,2008,8311,An,AngLg,Hendricks,,15488252,15778100,An,6040,IGOS-W,11-5-2013,1599,2,55,56.31,5.5,5.5,P,,,,,,,,,,,,,,,,,,1571,1369
840003008063955,12,2008,8313,An,AngLg,Hendricks,,15488252,15790876,An,6040,IGOS-W,11-5-2013,1183,2,51,51.28,4.5,4.5,P,,,,,,,,,,,,,,,,,,1415,1204
840003008063829,15,2008,8315,An,AngLg,Hendricks,,15488252,15778086,An,6025,IGOS-E,11-7-2013,1192,3,52,52.41,4.5,4.5,O,,,,,,,,,,,,,,,,,,1381,1359
982000046716134,15,2008,8332,An,AngSm,Florida,,2004375,99026,An,6040,IGOS-E,11-5-2013,1212,1,47.5,47.08,5.5,5,P,,,,,,,,,,,,,,,,,,1224,1120
982000047348534,12,2008,8344,An,AngSm,Florida,,2002271,2001155,An,6056,IGOS-W,11-5-2013,1471,2,51,51.74,6,6,P,,,,,,,,,,,,,,,,,,1237,1154
,WSH,2008,8368,An,AngSm,Florida,,2002271,2001034,,,Ang-Flush,,,,,,,,,,,,,,,,,,,,,,,,,,,
840003008063991,15,2009,9100,An,AngLg,Hendricks,,15670184,15151104,An,6056,IGOS-E,11-5-2013,1259,2,53,53.24,4.5,4.5,O,,,,,,,,,,,,,,,,,,1371,1287
840003008063964,12,2009,9103,An,AngLg,Hendricks,,15665339,14215758,An,6056,IGOS-W,11-5-2013,1345,1,52,52.93,5.5,5,P,,,,,,,,,,,,,,,,,,1424,1298
840003008063963,12,2009,9104,An,AngLg,Hendricks,,15488252,15789495,An,6040,IGOS-W,11-5-2013,1322,3,53,52.69,4.5,5,P,,,,,,,,,,,,,,,,,,1513,1324
840003008063972,15,2009,9113,An,AngLg,Hendricks,,15670184,14909372,An,6040,IGOS-E,11-5-2013,1511,1,53.5,51.91,6,6.5,O,,,,,,,,,,,,,,,,,,1605,1412
840003008063990,15,2009,9118,An,AngLg,Hendricks,,15670184,13933481,An,6040,IGOS-E,11-5-2013,1242,1,55,55.49,4.5,4.5,P,,,,,,,,,,,,,,,,,,1358,1203
840003008063981,15,2009,9119,An,AngLg,Hendricks,,15488252,15956654,An,6040,IGOS-E,11-5-2013,1378,1,52.5,53.16,5.5,5,P,,,,,,,,,,,,,,,,,,1556,1412
840003008063828,15,2009,9125,An,AngLg,Hendricks,,15670184,15151077,An,6040,IGOS-E,11-7-2013,1490,1,54.5,55.78,5,6,P,,,,,,,,,,,,,,,,,,1528,1529
840003008063845,15,2009,9132,An,AngLg,Hendricks,,15488252,15956651,An,6040,IGOS-E,11-5-2013,1082,2,51,52.03,4.5,4.5,O,,,,,,,,,,,,,,,,,,1177,1020
840003008063994,15,2009,9145,An,AngLg,Hendricks,,15670184,14909365,An,6040,IGOS-E,11-5-2013,1427,1,53,51.75,6,5.5,O,,,,,,,,,,,,,,,,,,1555,1395
840003008063975,15,2009,9147,An,AngLg,Hendricks,,15488252,16518052,An,6056,IGOS-E,11-5-2013,1295,1,53,52.74,5,5,P,,,,,,,,,,,,,,,,,,1412,1284
,,1999,9160,An,AngSm,Florida,,95204,95064,,,Ang-Flush,,,,,,,,,,,,,,,,,,,,,,,,,,,
